0,1,2,3,4,5,6,7,8,9,10
硬件工程师,数字电,模拟电路,数字滤波器,电路板设计,电子元器件选型,模电/数电基础,电路分析,usb,硬件基础知识,单片机
APP开发,数据结构,swift,c++,负责产品有强烈的责任心,英语水平,抗压性,高度额责任心,解决问题的意识,,
AI开发工程师,c++,java语言,常用算法,计算机基础,面向对象思想,机器学习,阅读英文文档,基础算子,深度神经网络模型,沟通表达理
数据挖掘工程师,python程序,java语言,机器学习建模,统计基础,统计建模,linux操作命令4,云技术,统计概率,因果分析,sas
产品管理,宏观经济,协调问题,产品投入时间,复杂仪,问题分析,交流表达,个人学习力,英语四级通,系统分析,洞察力
IT运营工程师,态度积极主动,时间节点意识,沟通表达理,,,,,,,
C++开发工程师,c++,数据结构,c1证,设计模式,tcp,python程序,gdb调试技术,代码规范,算法基础,gcc
贷后管理,办公计算机操作,电话催,sas,python程序,普通话标准,与不同人群沟通,电话销售,效沟通技巧,讲求团队精神,抗压性
财务BP,基本财务会计知识,愿奉献&semi,敢挑战,会计初级证书,组织协调力,职业道德,职业资格证书,懂得牺牲,化办公软件,自驱动力
金融分析师,商业洞察力,英语四级通,效沟通技巧,为人诚信,自信心,逻辑思考力,事业心,高度额责任心,极富团队合作精神,大量阅读英文材料
经济管理,极富团队合作精神,抗压性,,,,,,,,
财务管培生,国家会计法规,收政策,财务软件,国内会计法律法规,excel函,财务基础,财务类专业证书,财务软件系统,预决算,基本会计入账操作
电子电气工程师,嵌入式软件架构设计,接插件,电子产品研发有兴趣,新能源汽车动力,执行器,电子电路原理,处事灵活度,多传感器标,沟通表达理,发流程
汽车设计,汽车结构,catia,装配建模,工作原理,三维设计开发软件,创造性思维,设计理论,团队精神6,高度额责任心,抗压性
服装质量管理,服装的生产流程,职业道德,语言表达,爱岗敬业,高度额责任心,洞察力,,,,
产品专家,产品新功能,自驱力,团队意识,用户服务意识,进取心,善于倾听,人际交往,自驱动力,驾驶技术,行驶记
B超医生,谦虚谨慎,,,,,,,,,
CRP/Medical Physician,听说读写,,,,,,,,,
数据管理专员,临床试验经验,excel函,数据分析工具,逻辑推理,数据采集,ppt操作,分析技巧,word文档,计算机软件,洞察力
客服专员,普通话标准,海空运出口业务知识,服务意识足,服务口碑,操作流程,基金知识,各航线,电脑使用技能,基金交易业务流程,网络营销资源
商品管理,excel函,电商行业,中英文水平,数据洞察分析,资源拓展整合,创新的想法,品牌服装企业运作流程,数据分析方法,化办公软件,条理性好
汽车销售,正形象气质,亲和؜力,商务谈判,主动性,进取心,用户服务意识,高度额责任心,极富团队合作精神,爱岗敬业,
置业顾问,三观正,亲和؜力,区域楼盘情况,强烈成功欲望,业务协作关系,判断力,逻辑协调,进取心,语言表达,抗压性
金融顾问,国内期货,性格坚韧,口齿清晰,资源拓展整合,普通话标准,思维敏捷,团队意识,团队创新精神,承压力,事业心
海外销售,攫取欲望,建立关系,乐于从事销售类工作,课成绩,国外交换生.外企实习,英语四级通,第二外语,沟通语言,商务意识,英文沟通
课程顾问,普通话标准,亲和؜力,正形象气质,热爱中国传统文化,主动营销意识,素质教育课程转化,心态积极向上,沟通逻辑性,抗压性,服务意识足
销售管理,excel函,用户服务意识,处理复杂人际关系,沟通表达理,数据处理功底,转化力,互联网产品,数据变化敏感度,数据分析方法,书写流
市场总监,正形象气质,社交感,各类金融产品特性,事业心,语言表达,高度额责任心,创新业务,,,
CSO线管培生,经营思维,解决问题的意识,,,,,,,,
编剧,专业的写作技巧,创作潜力,文化素质,阅片量丰富,想象力丰富而有趣,文字功底,逻辑思考力,写作方法,责任感6,团队精神6
资料撰写工程师,,,,,,,,,,
广告客户执行,同理心,逻辑思考力,完成布置,语言表达,,,,,,
文娱运营,文娱活动策划,心理咨询,服务意识足,责任感6,艺术治疗,,,,,
活动策划,组织调度经验,社交裂变玩法,整合内外部资源,展示潮流,项目策划营销流程,大型庆典活动流程,展览展示空间设计,文娱相关线下活动设计,审美视角,提炼重点
媒介管培生,工作负责,沟通表达理,word文档,excel,市场嗅觉灵敏,,,,,
安全管理管培生,,,,,,,,,,
仓储物流管理,化办公软件,理解力,执行力,,,,,,,
HRBP,当下互联网游,上人力资源,准备长期在人力方向发展的规划,业务理解力,亲和؜力,人力资源日常管理工作流程,人力资源政策,人力资源各模块管理工具,学习反思,招聘渠道开发
行政专员,普通话标准,正形象气质,服务意识足,化办公软件,亲和؜力,问题意识,组织与执行,沟通反馈意识,基本商务接待礼仪,学习力
ERP实施顾问,行业销售,文档撰写,财务管理流程,ppt操作,服务意识足,高度额责任心,抗压性,极富团队合作精神,,
法规注册,公共关系维护意识,政策法规,资料撰写,开拓精神,文字功底,文字撰写功底,沟通表达理,化办公软件,适应性,极富团队合作精神
英语翻译,思维灵,内驱动力,新闻编辑,坚韧乐观5,中心思想,英语四级通,高度额责任心,时间管理推,概括摘要,英语八级
工程项目管理,沟通表达理,执行力,,,,,,,,
CFO,,,,,,,,,,
法务管培生,合同法,公司法,国家劳动法规,国际法,身心健康,民事诉讼法,文书写作,团队意识,品德端正,职业道德
导游,导游证,反映敏捷,品德端正,普通话标准,语言表达,亲和؜力,服务意识足,,,
餐饮店长,三观正,爱交流,坚韧品性,意愿度,,,,,,
环保工程师,英语四级通,auto,职业素养,团队精神6,沟通交互,高度额责任心,offic办公软件,抗压性,,
政府关系,公文写作功底,word文档,excel,ppt操作,为人诚信,高度额责任心,抗压性,,,
农艺师,组织协调力,,,,,,,,,
管理储备干部,团队协作意识,物流行业社会实践经验,excel各项功能,抗压素质,人际理解,沟通表达理,管理协调,影响力较好,offic办公软件,人格魅力
嵌入式,c++,uart,spi,keil,数据结构,嵌入式软件,stm32,usb,tcp,单片机
AI数据工程师,自然语言生成,语言学,perl一种,执行力,责任感6,python程序,脚本语言,,,
数据分析师,excel函,python程序,sas,医药信息收集,临床常见疾病的诊疗流程,数据之间的联系,拆解指标,商业分析,临床试验经验,数据变化敏感度
网络测试,车辆总线系统的结构,车辆电控系统,c++,canoe,网络基本知识,python程序,tcp,计算机软件,英语四级通,整车开发流程
软件实施工程师,医院管理,java语言,windows,linux命令,linux操作系统,c++,网络基本知识,维护知识,独立分析解决问题,挖掘客户需求
产品交付工程师,offic办公软件,,,,,,,,,
法律风控,,,,,,,,,,
柜员,沟通表达理,抗压性,服务意识足,敬业度,高度额责任心,责任感6,极富团队合作精神,,,
合约管理,工程建设的法律法规,行业规范,工程知识基础,,,,,,,
CNC/数控,,,,,,,,,,
钣金工,机械设计,offic办公软件,逻辑思考力,沟通表达理,高度额责任心,团队精神6,,,,
化学分析,,,,,,,,,,
工程储备岗,极富团队合作精神,高度额责任心,,,,,,,,
安防系统,存储的基础理论,server,网络设备,java语言,python程序,英语口语,服务意识足,,,
技术助理,axcure,利用excel,敏感性,文献查阅,时间观念,化办公软件,问题解决,时间管理推,爱岗敬业,极富团队合作精神
学术推广代表,资源拓展整合,积极向上,组织协调力,进取心,用户服务意识,解决问题的意识,高度额责任心,工作态度,开放合作,职业道德
SEM,excel函,国内主流搜索引擎,短视频平台,积极高效,搜索引擎,数据统计分析,计算机办公软件,逻辑思考力,ppt操作,创造力
售前技术支持,方案撰写,表达沟通,操作系统的基础知识,c++,谦虚谨慎,化办公软件,极富团队合作精神,沟通表达理,用户服务意识,逻辑思考力
采购专员,组织活动经验,excel函,数据分析整理,采购相关操作流程,行政物资,数据变化敏感度,学生会干部,抗压性,合同文本,offic办公软件
广告投放,发散性思维,从数据,素材发现,广点通,手游用户群体,热爱游戏制作,海外主流,操作规则,文案写作,直播feed
外贸业务员,英语四六级.听说读写,写流利,英语四级通,客户沟通维护经验,英语听,机械原理知识,国际贸易法规,业务流程,英语底,喜欢和外国友人打交道
招生顾问,诚信敬业,语言沟通,目标意识,化办公软件,亲和؜力,抗压性,高度额责任心,营销工作,,
销售内勤,综合管理,市场部业务流程,会计核算,公司财务管理流程,学习新知识,编写计算程序,营销管理知识,财税软件,开单发货,系统软件
CTO线管培生,产品经理思维,逻辑性,自驱力,,,,,,,
带货主播,后台操作,调动气氛,镜头感觉,思维灵活,正形象气质,亲和؜力,普通话标准,学习力,语言组织,抗压性
新媒体运营助理,公众号运营,语言表现力,平易近人,审美力,文字功底,文案功底,网络知识,思维敏锐,文字撰写功底,语言表达
文案策划,文案写作,文学作品,文字功底,文化差,文字创意,文案功底,女性向游戏,手游产品深度体验,游戏文案,想象力
策划管理培训生,转化力,学习力,出发思考,沟通力,胖瘦适宜,,,,,
国际教育教师,课程考试经验,,,,,,,,,
课程设计,目标检测算法,模电/数电基础,芯片设计流程,python程序,图像分类,敏捷灵活,同理心,口头表达,钟情思考,创新意思
市场运营管培生,新闻敏感度,创新意识,,,,,,,,
材料员,法律专业知识,组织协调力,极富团队合作精神,,,,,,,
室内设计,基本装修的工艺流程,施工工艺4,设计软件,沟通表达流利,illustrator,l积极肯干,草图大师,美术功底,游戏运营有浓厚兴趣,设计功底
成本管培生,excel函,ppt操作,,,,,,,,
网约车司机,c1证,服务意识足,,,,,,,,
仓储运营专员,系统逻辑,英文读写,总结项目所,不断优化流程,沟通交互,自驱动力,抗压性,组织管理,实践项目,
IT咨询顾问,快速适应,,,,,,,,,
法律顾问,数据资料收集,逻辑思考力,极富团队合作精神,团队意识,,,,,,
日语翻译,思维灵活,英语四级通,逻辑性,亲和؜力,word文档,高度额责任心,excel,责任感6,抗压性,稳定性
品控管理,普通话标准,口齿清晰,亲和؜力,excel函,服务意识足,数据变化敏感度,工作负责,抗压性,思考总结,word文档
管理咨询管培生,快速适应,深入思考,offic办公软件,,,,,,,
政策研究,文本写作,文字功底,逻辑思考力,极富团队合作精神,语言表达,高度额责任心,沟通表达流畅,文字编辑,职业素养,抗压性
自动化,c++,java语言,python程序,数据结构,机械设计,强弱电基础,电机拖动原理,国际标准,沟通表达流畅,理论基础知识
U3D开发工程师,技术基础,c++,架构设计,lua,图形学库,逻辑思考力,团队精神6,数学基础,责任感6,抗压性
IP软件工程师,设计文档技能,c++,数据结构,软件交互,系统级性能分析,java语言,问题解决,极富团队合作精神,听说读写,
AI图像处理工程师,caffe,c++,python程序,接受新知识,维护软件测试流程,测试相关文档模版,,,,
大数据算法工程师,机器学习,数据开发经验,加密算法,编码量,caffe,常用机器学习算法,java语言,linux系统,linux操作命令4,基础算法
ERP维护工程师,,,,,,,,,,
ERP系统专员,,,,,,,,,,
产品研发,聚氨酯,产品的常规缺陷,机械设计,移动破,优化老产品的工艺,常规仪器,降低生产能耗,橡胶件,工艺材料基本常识,饮料生产研发相关设备
安全运营,从case,结构问题,数据变化敏感度,抗压性,沟通表达理,,,,,
商务渠道,勤奋努力,三观正,沟通谈判,事业心,英语听说,方案撰写,抗压性,极富团队合作精神,挑战精神,
金融运营,主人公意识,高度额责任心,执行力,,,,,,,
风控管培生,python程序,多因子模型,sas,思维灵活,数字敏感性,学习理解,创新意思,工作主动性,接受挑战,高度额责任心
材料工程师,液晶显示原理,背光设计,显示器光学,材料性能测试,3d动画制作,催化材料,英语四级通,手机研发流程,热爱材料,办公室自动化
包装工,英语四级通,事业心,进取心,计算机软件,适应快速变化,解决问题的意识,乐于接受挑战,高度额责任心,抗压性,
底盘工程师,汽车理论知识,中英文读写,电机控制,道德素养,创新意识,专业知识,化办公软件,逻辑思考力,抗压性,组织协调力
工程监理员,职业资格证书,,,,,,,,,
材料研发工程师,磁控溅射镀膜设备结构,热界面材料,电化学设计,cms相关工艺,微结构材料批量生产,电芯正负极材料研发工作,电磁材料的选型,电化学,材料表征方法,表面物性设计
职能管培生,亲和؜力,思维逻辑性,解决问题的意识,爱岗敬业,,,,,,
IC前端工程师,异步时序数字电路理论基础,综合经验,责任心事业心,创造力,英语流,逻辑思考力,价值观,解决问题的意识,,
储备财务经理,基本会计准则,内部核算流程,财务软件,会计法,账务处理,经济法,操作系统的基础知识,组织协调力,职业道德,责任感6
生产运营管培生,逻辑思考力,ppt操作,excel函,,,,,,,
动物实验技术员,英语阅读,高度额责任心,,,,,,,,
病理医师,病理医师执业证,组化报告审阅,时完成组织病理,妇科病理,,,,,,
DMPK,动物试验,肝细胞稳定性,生物样品定量分析,分析仪,微生物,代谢物鉴,代谢物鉴定,药物研发流程,职业道德,创新并解决问题
理疗师,亲和؜力,品德优良,责任感6,为人诚信,,,,,,
SEO,市场分析,高度额责任心,用户服务意识,,,,,,,
售后技术支持,excel函,liunx命令,linux操作系统,tcp,python程序,洞察力,redis,路由协议,逻辑思考力,数通厂商设备配置
买手,数据收集分析,客户需求开发产品,excel函,工作的统筹规划,高敏感度,市场敏锐度,周边山区26县,数据变化敏感度,运营的思路,各部门之间沟通协调
汽车美容,,,,,,,,,,
广告优化师,游戏产品投放模式,海外社交媒体,工作承受力,facebook,google,excel函,英语四级通,数据变化敏感度,逻辑思考力,小红书
金融产品销售,普通话标准,,,,,,,,,
国际贸易,热衷种草,喜欢研究化妆品成分,主流美妆营销媒体,媒体特征,逻辑推理,美妆产品使用,营销玩法,核心功能成分,单品的初衷,数据变化敏感度
医疗器械销售,销售意愿,充满激情,市场敏感性,效沟通技巧,强烈成功欲望,积极向上,口头表达,乐观开朗,执行力,offic办公软件
销售运营,excel函,商务合作思维,商务谈判,思考分析,团队协同,促进用户转化,英文读写,抗压性,电子商务业务销售技巧,责任感6
采购管培生,excel函,生产型采购,办公通讯设备,offic办公软件,敢挑战,客户需求分析,懂得感恩,正直诚信,懂得牺牲,人际理解
广告策划,执笔完成提案方案,文字功底,ppt操作,服务意识足,极富团队合作精神,,,,,
CAD设计/制图,,,,,,,,,,
道法编辑,学科功底,抗压性,高度额责任心,,,,,,,
媒介策划,excel函,热衷种草,化妆品重度用户,喜欢研究化妆品成分,ppt操作,逻辑性,方案撰写,分配时间,化办公软件,创造力
作者运营,社交人脉基础,,,,,,,,,
创意策划,文案写作,发散性思维,洞察游戏用户诉求,专业创意方法,设计功底,创意策划,阅片量丰富,知识面广,勇于挑战固,洞察力
广告设计管培生,美术设计工具,理解力,工作负责,高度额责任心,团队精神6,,,,,
化学教师,理科专业功底,旁征博引,标准普通话,亲和؜力,高度额责任心,极富团队合作精神,抗压性,学科知识功底,沟通交互,
课程编辑,信息化水平,,,,,,,,,
教务管理,细心耐心,亲和؜力,高度额责任心,服务意识足,,,,,,
管理培训生,强烈成功欲望,目标敏感,excel函,思想政治素质,主席经验,抗压性,人际交往,业务敏感度,管理方向发展,个人近期作品
仓库管理员,数字敏感性,仓库管理知识,积极进取,高度额责任心,offic办公软件,财务知识,协调沟通,电脑操作即,,
仓储物流管培生,表达沟通,高度额责任心,积极接受挑战,,,,,,,
猎头,语言沟通,与人沟通,职业道德观,表达沟通,轻言放弃,客户服务,人际交往,自驱动力,脚踏实地,判断力
档案管理,计算机办公软件,扫描器,化办公软件,用户服务意识,档案安全保密意识,思维敏捷,执行力,抗压性,逻辑性,法律合规评估
法务专员,公司法,合同法,国家劳动法规,风险管控意识,学习的意识,法律研究,民事诉讼法,爱岗敬业,学科教师资格证,法律知识
融资项目管理,法律法规,职业道德素质,,,,,,,,
酒店前台,预订资料,操作office,以上文化程度,抗压性,头脑灵活,执行力,服务意识足,责任感6,,
讲解员,语言沟通,独立分析,极富团队合作精神,服务意识足,解决问题的意识,,,,,
化妆师,,,,,,,,,,
茶艺师,向往茶,冲泡方式,介绍茶水冲泡流程,饮茶知识,茶艺师资格证,三观正,客户礼仪,服务意识足,亲和؜力,高度额责任心
EHS工程师,中英文读写,效沟通技巧,思维灵活,学习的意识,极富团队合作精神,团队精神6,,,,
单片机,测量仪器,电路问题,单片机内部结构,硬件知识,模拟电路基础,数字滤波器,单片机,uart,模拟信号处理电路,常用外围电路
UE4客户端开发,c++,脚本开发,美术风格,编码习惯,研究精神,编码量,数据结构算法,计算机科学基础,lua,opengl
IT软件开发工程师,c++,java语言,存储过程,,,,,,,
大数据开发工程师,java语言,数据结构,spark,python程序,hbase,c++,设计模式,数据库设计,flink,mybati
HIL测试助理工程师,脚本语,,,,,,,,,
网络工程师助理,java语言,,,,,,,,,
品牌管理,各类新媒体工具,文案撰写,市场趋势,文字功底,文字转化,化办公软件,观察力,与人沟通,offic办公软件,财务系统
本地化运营,游戏用词,服务意识足,抗压性,极富团队合作精神,,,,,,
产品经理管培生,敏捷的洞察力,在校综合表现,业务敏感度,产品开发,书面交流,审美力,创新精神,业务规划,axcure,市场意识
风险运营岗,excel函,高度额责任心,抗压性,,,,,,,
财务分析,财务分析,敏感性,自律性,数据变化敏感度,英语四级通,逻辑性,为人诚信,自驱力,抗压性,职业道德
企划督导,化办公软件,课程学习成绩,亲和؜力,offic办公软件,语言表达,高度额责任心,沟通表达理,极富团队合作精神,组织协调力,服务意识足
大堂经理,遵纪守法,仪表端庄,个人近期作品,为人诚信,职业道德,普通话标准,沟通表达理,亲和؜力,服务意识足,语言表达
会计管培生,职业资格证书,财务软件,化办公软件,亲和؜力,沟通表达理,学上进心,高度额责任心,极富团队合作精神,原则性,目标敏感
工程技术管理,英语四级通,,,,,,,,,
工程维修,用户服务意识,计算机操作,抗压性,,,,,,,
零售运营管培生,组织管理,计算机办公软件应用,市场营销知识,人际理解,前瞻性,资源拓展整合,国际视野,执行力,抗压性,学上进心
推广管培生,电脑外设产品,药学相关产品知识,移动互联网行业,英文基础,文案功底,创意策划,电竞装备,谈判技能,服务意识足,语言表达
计算机辅助药物设计,药物设计方法,分子对接,虚拟筛选,分子动力学,自由能模拟,机器学习,java语言,linux操作系统,c++,药物化学
超声科医生,仪器性能,检查原理,解决问题的意识,,,,,,,
临床技术工程师,诚信客观,积极进取,乐于接受挑战,创新精神,合作意识,自我激励,,,,
医药代表,职业操,工作独立性,沟通表达理,人际交往,组织协调力,执行力,与人沟通,语言表达,抗压性,团队精神6
药店实习生,,,,,,,,,,
产品助理,axcure,offic办公软件,excel函,ppt操作,本行业理论知识,电机运行原理,产品逻辑,数据结构,本行业国内,主流软件
软件技术支持工程师,计算机存储,英文读写,独立分析,沟通表达理,解决问题的意识,,,,,
物业招商,,,,,,,,,,
外贸跟单,外贸工作流程,英语四级通,国家相关法规,业务流程,工厂运作流程,英语书面水平,excel函,英文读写,责任感6,电脑操作即
灯光师,审美意识,画面效果理解准确,质感表现,主动沟通,洞察力,沟综合素质,自律性,条理性好,nuke,主动性
动漫同人编辑,语言沟通,excel函,word文档,,,,,,,
品牌公关,客户视,客户心态,英文写作,人际关系敏感度,文字功底,公关策划,计划性,图片处理,短视频,后期制作
网络运营,网络营销渠道,产品宣传文案,行业杂志,文字功底,职业素养,爱岗敬业,团队精神6,,,
内容策划,策划经验,各大投放渠道,成功孵化经验,审美力,文案功底,执行力,主动性,脚本撰写,,
设计管培生,美术功底,美术专业基础,建筑设计,设计意识,c4d,时尚品味,视觉表达,降得住高富帅,illustrator,亲和؜力
家教,逻辑性,持续学习,,,,,,,,
古筝教师,普通话标准,语言表达,,,,,,,,
城市规划,规划设计基础知识,excel函,逻辑思考力,极富团队合作精神,,,,,,
环境管理管培生,观察力,执行力,,,,,,,,
仓库文员,高度额责任心,中英文阅读,,,,,,,,
培训,个性积极,热衷销售,关注客户,阅读英文资料,分享交流,医疗影像专业,爱岗敬业,核心胜任力,乐于团队协作,高度额责任心
保险顾问,商务谈判,亲和؜力,电子商务业务销售技巧,极富团队合作精神,高度额责任心,,,,,
国际法规工程师,,,,,,,,,,
法语翻译,英语四级通,职业素养,excel函,高度额责任心,极富团队合作精神,ppt操作,,,,
项目调研专员,文献检索经验,事业心,高度额责任心,极富团队合作精神,,,,,,
COO,数据统计分析,执行力,,,,,,,,
客服管培生,普通话标准,offic办公软件,处理管理,,,,,,,
服务员,向客户介绍,,,,,,,,,
电路设计,模拟电路设计经验,反馈理论,电气原理图设计,晶体振荡器,无线射频电路设计,关键模拟模块,器件模型,集成电路工艺,集成电路设计流,验证检查
java,java语言,mybati,数据结构,springcloud,多线程处理,git操作,redis,开源技术,面向对象的思想,分布式系统的设计
Pipeline TD,c++,协作精神,gin,,,,,,,
大数据运维工程师,hbase,数配置,kafka,spark,数据组件,zookeeper,yarn,flink,python程序,程序设计基本功
JAVA开发实施工程师,linux操作命令4,servlet,jsp,windows,springcloud,java语言,webservice,mybati,消息队列,redis
财务运营,数字敏感性,沟通表达理,抗压性,高度额责任心,,,,,,
