0,1,2,3,4,5,6,7,8,9,10
金融专员,职业道德,进取心,高度额责任心,极富团队合作精神,执行力,,,,,
财务审计管培生,敏感性,,,,,,,,,
装配工程师,装配图纸,维护保养,电子产品系统性装配,测试工具,电气设计图纸,机械装配规范,处理问题,高度额责任心,装配顺序,机械装配工具
光学工程师,zemax,tracepro,光纤光栅,相机成像原理,codev,光学设计软件,光学理论,色度学,光束匀化,光学分析器件
视频工程师,c++开发经验,c1证,17标准,ffmpeg,高度额责任心,linux环境,,,,
临床医生,高度额责任心,,,,,,,,,
物资管理,,,,,,,,,,
信用卡客服,高度额责任心,稳定性,,,,,,,,
销售经理,基本素质,笔记本,期在俄语地区驻外,媒介市场行情,产品功能,行业业务,形成解决方案,政府采购,市场开发,客户资源和客户关系
人像修图师,修图流程,责任感6,注重效率,,,,,,,
医学编辑,生物医学相关实验技术,网络内容的传播特性,文字功底,执行力,抗压性,结构公差分析,,,,
早教老师,普通话标准,亲和؜力,表现力,抗压性,感染力,高度额责任心,英语口语,,,
汽车技术教师,科目知识点,,,,,,,,,
数据分析顾问,sas,机器学习算法,python程序,决策力,表达沟通,逻辑思考力,解决问题的意识,,,
调饮师,高度额责任心,服务意识足,,,,,,,,
web全栈工程师,前后端主流框架,浏览器端,网络基本知识,linux操作命令4,模拟开发环境,,,,,
图像处理算法工程师,图像处理专业知识基础,图像处理算法,c++,图像算法软件开发,线性代数,英语阅读,图像处理,统计学,三维图像可视化算法,目标意识
产品销售,用户服务意识,亲和؜力,语言表达,团队意识,车辆驾驶证,口腔医疗行业,,,,
课程运营,高度额责任心,语言表达,沟通表达理,学上进心,,,,,,
游戏服务器工程师,java语言,c++,数据结构,网络通讯协议的原理,使用方式,线程安全,redis,游戏常识,,
金融助理,反映敏捷,交际技巧,亲和؜力,市场分析,用户服务意识,高度额责任心,极富团队合作精神,,,
财务经理,,,,,,,,,,
FA分析师,工作习惯,责任感6,自驱动力,抗压性,极富团队合作精神,,,,,
制造工程师,校内外活动,实践经历,catia,结构原理,敏锐进取,荧光显微镜操作,java语言,创新求变,halcon,光学材料
机器人工程师,c++,java语言,数据结构,全局路径规划算法,编码习惯,感知算法,英语阅读,含机器学习,,
麻醉医生,麻醉诊断学常见,服务意识足,麻醉资格证,,,,,,,
需求分析,excel函,axcure,广告监测,需求分析工作,springcloud,java语言,冲突管理,基础工具,定量定性分析,软件工程
小米客服,认知水平,极富团队合作精神,承压力,高度额责任心,,,,,,
渠道销售管培生,法律专业知识,敢挑战,懂得感恩,正直诚信,懂得牺牲,抗压性,化办公软件,沟通表达理,极富团队合作精神,自驱动力
设计专员,活动制定,对公共关系维系,文案策划功底,善创变,沟通协作,客户投诉处理,文字功底,创作性思,能死磕,
中学科学实验员,学科教师资格证,化办公软件,,,,,,,,
施工员,法律专业知识,组织协调力,高度额责任心,学上进心,极富团队合作精神,,,,,
投资者关系咨询顾问,国内外资本市场,行业研究,人际交往,,,,,,,
食品检测,食品检测化验,,,,,,,,,
服务器开发,数据结构,c++,java语言,tcp,golang语言,windows,算法知识,redis,erlang,数据库设计
推荐算法工程师,python程序,java语言,机器学习,数据结构,spark,编码量,c++,word2vec,算法基础,加密算法
产品测试,研发基本流程,嵌入式产品测试相关标准,功能测试,测试方法,界面测试,原则性,实验测试仪器设备,linux系统,爱岗敬业,团队意识
运营管理管培生,研究分析,财务敏锐度,积极乐观开朗,处理管理,逻辑思考力,数据处理功底,创新意思,文案功底,,
财务融资,excel函,,,,,,,,,
研究分析师,研究基本方法论,解决问题的意识,主动性,,,,,,,
电气设计,excel函,储能微网系统,电力系统,行业设计规范,各种测量传感器,电气接线,英语书面,移压力流,电气控制柜设计,offic办公软件
钳工,直线导轨,钳工初级等级证书,滚珠丝杆,端子模具维修经验,调试方法,机械装配用工,机械结构,多传感器标,头脑灵活,团队精神6
技术传播工程师,自驱动力,英语口语,书面表达,,,,,,,
外贸客服,,,,,,,,,,
商务管培生,社会实践经历,管理方向发展,脚踏实地,领导力,清晰的职业规划,工作积极主动,主席经验,学生会干部,职业目标,事业进取心
主播,临场发挥,表现欲,正形象气质,与粉丝聊天互动,效沟通技巧,表现力,临场思维敏捷，转换快,语言表达,普通话标准,推销产品
视觉设计,审美力,手绘板绘制,illustrator,美术功底,质感表现,视觉创意设计,排版布局,字体设计技能,视觉设计,设计要点
产品编辑,执行力,,,,,,,,,
助教,学科教师资格证,客户的学习,办公室自动化,英翻中,学生管理沟通,服务意识足,民族舞,工作激情,沟通表达理,学习新事物
餐厅经理,处事成熟度,效沟通技巧,必胜客,计算机操作,责任感6,,,,,
系统算法工程师,信号处理,点云预处理,c++,接受挑战,抗压性,极富团队合作精神,,,,
产品研究,技能基础,临床试验经验,严谨的科研思维,创造性思维,爱岗敬业,团队意识,工作态度,英文读写,,
跨境电商运营,文案到后期维护,形成客户口碑,读写流,客户复购率,法语语言,instagram,库存数据,发散性思维,库存周转率,公众号运营
金融渠道经理,,,,,,,,,,
医药分析师,专利分析,中英文阅读,文献检索,,,,,,,
游戏客服,英语读写流畅,服务意识足,计算机操作,普通话标准,excel函,亲和؜力,化办公软件,抗压性,word文档,沟通表达理
客户销售,市场营销,大客户管理,攫取欲望,物流行业基础营运流程,人际交往,问题诊断,谈判技巧,分析力,销售目标感,信息网络安全的理念
特效设计,手绘板绘制,美术功底,现主流的特效制作软件,动画功底,主流的特效制作软件,二次元产品,设计功底,动画原理,镜头感觉,视觉特效原理
游戏编辑,敏感的网感,语言表达,文字功底,抗压性,,,,,,
法语老师,法语国家文化,,,,,,,,,
心理咨询顾问,高度额责任心,极富团队合作精神,,,,,,,,
架构师,计算机网络应用开发的基本架构,大流量系统的设计,多线程处理,分布式,数字芯片综合,编码量,springcloud,芯片设计基本知识,型关系型数据库,处理器指令集
语音算法工程师,声学理论,c++,信号处理基础,数据结构,声纹识别,声学前端处理算法,语音唤醒,系统性的理解,算法基础,命令词识
流量运营,流量转化思路,用户服务意识,自驱动力,,,,,,,
金融产品,逻辑条理,,,,,,,,,
宏观分析师,英文读写流畅,宏观经济,口头表达,逻辑思考力,抗压性,责任感6,沟通表达理,极富团队合作精神,,
模拟版图工程师,模拟版图设计流程,模拟注意事项,法律专业知识,synopsys,mentor,excel函,理解力,沟通表达理,ppt操作,word文档
生物分析,灭菌柜,生物分析,微生物相关设备,检测仪器,凝胶成像系统,分析常用微生物仪器,分子鉴定,高度额责任心,无菌制剂生产工艺,细胞培养操作经验
营运管理,工程类知识储备,语言沟通,文字功底,报告撰写,解决问题的意识,excel函,逻辑思考力,英语四级通,经营意识,沟通协同
客服代表,极富团队合作精神,化办公软件,,,,,,,,
销售实习生,强烈成功欲望,当地医疗资源,150cm,交流技巧,抗压性,语言组织,销售意识,正形象气质,客户意识,普通话标准
德语老师,德国文化,德语专八,学科教师资格证,亲和؜力,,,,,,
脚本开发,计算机网络应用层协议,lua,项目合作沟通意识,抗压性,,,,,,
云台控制工程师,算算法e,多刚体系统建模,鲁棒控制,系统辨识,数理基础,c++,姿态融合,四元数,,
产品设计,在校成绩良好,excel函,互联网快速迭代开发的模式,3d动画制作,产品项目管理相关工具,软件需求分析,catia,设计思维,结合用户需求设计开发产品,铸铁类产品开发流程
金融项目,报告撰写,工作负责,抗压性,,,,,,,
策略分析师,衍生品研究基础,数理分析功底,excel函,中英文读写,口头表达,高敏感度,快速适应,ppt操作,逻辑思考力,抗压性
游戏商务,互联网广告市场,移动网盟,美术风格,游戏研发项目特点,客户管理意识,组织协调力,团队协作意识,理解力,分析问题,逻辑思考力
销售代表,销售理念,确介绍产品规格,普通话标准,区域楼盘情况,口齿清晰,性格坚韧,沟通表达理,抗感染药品,积极维护,负责客户开发
网页设计,审美力,创新精神,平面设计技,ajax,信息资料的收集,整理分析,用户体验设计,易用性,极富团队合作精神,半年以上shopee运营经验
行业研究,区块链基础架构,热门概念,信息搜集,行业研究,研究分析,学术基础好,财务知识积累,逻辑思考力,法律专业知识,英文读写
模型算法工程师,统计理论,数字图像处理,python程序,微积分,测试方法,数学基础,scipy,数值计算,c++,线性代数
智能算法工程师,java语言,深度学习的算法,学习理论,深度神经网络模型,c++,caffe,windows,机器学习,机器学习建模,python程序
内容审核,论坛管理,普通话标准,英语6级,抗压性,,,,,,
金融服务讲师,行情走势分析,语言沟通,独立分析,极富团队合作精神,解决问题的意识,,,,,
评级分析师,团队协调,研究分析,抗压性,语言表达,文字功底,,,,,
数字后端工程师,物理设计流程,synopsys,数字后端流程,emacs编辑器,primetime,数字电,vim,redhawk,virtuoso,perl一种
兽医,实验动物兽医护理知识,综合素养,专业知识,护理临床,爱护动物,资质认证,普通话标准,兽医体系知识,组织协调力,猪场生物安全体系
游戏推广,文字沟通,互动交流,热点新闻,手机游戏,身心健康,数据变化敏感度,分析总结,新鲜事物有感觉,产品团队,逻辑思考力
售前工程师,软件系统,组织架构,通信网络技术,计算机网络,形成解决方案,文字功底,交流技能,方案制作,企业信息化软件,基本功扎实
线上销售,文艺特长,人际理解,创新意识,文案撰写,乐观积极,数据处理功底,市场拓展素质,极富团队合作精神,客户意识,销售工作充满热情
媒体监测,化办公软件,基本摄影技巧,,,,,,,,
系统策划,玩家心理,清晰规划设计架构,游戏经历丰富,主流手机游戏,用户体验细节,游戏玩家心理,严谨的逻辑思维,slg游戏,slg,总结游戏规则
英文顾问,拓展海外市场,职业素质,维护国外客户,学习力,负责与国外客户的联系,执行力,高度额责任心,极富团队合作精神,,
智驱软件工程师,算法模型,模拟软件,,,,,,,,
产品工程师,usb,工控机,uart,电话交换机,工业相机,spi,汽车结构,芯片制造工艺特别是光刻工艺,模具开发,产品开发项目流程
内容运营,宏观思维,影视行业,对海外股票市场有浓厚的兴趣,影视阅片,信息流产品,驾驭各种文风,文字功底,视频剪辑意识,内容运营方法,小红书
金融咨询顾问,新鲜事务,快速适应,分析解决问题,沟通表达理,责任感6,,,,,
质量分析师,团队协调,抗压性,语言表达,文字功底,,,,,,
外科医生,学上进心,高度额责任心,住院部病人管理,,,,,,,
用户体验设计,审美水准,功能分析,交互规划,用户研究常见方法,信赖性,花型设计,,,,
运营顾问,执行力,自驱动力,offic办公软件,,,,,,,
全栈工程师,java语言,react技术栈,计算机专业知识,c++,工程化思想,python程序,数据机构,主流前端框架,思路清晰文笔,中英文阅读
国际产品专员,英语四级通,适应出差,,,,,,,,
拼多多运营,拼多多规则,各种软件工具,后台运营工作,思维逻辑性,团队意识,理解力,,,,
金融科技,机器学习建模,统计基础,统计建模,设计模式,python程序,sas,springcloud,编码习惯,业务规划,linux系统
战略分析师,,,,,,,,,,
天线工程师,电磁仿真软件,微波电磁场,电磁场电磁波技术,天线设计,微波工程,天线设计理论,波束合成控制,电磁场原理,硬件电路,微波电路
游戏营销,,,,,,,,,,
保险销售,,,,,,,,,,
工程管理,思维灵活,知识储备,出差•较强的逻辑,excel函,专业证书,乐观开朗,offic办公软件,服务流程,工程项目实施过程,道德品质
战略咨询,事业心,人际交往,责任感6,极富团队合作精神,,,,,,
视频开发,c++,计算机基础,计算机理论,ffmpeg,windows,android,钻研精神,流媒体协议,快速适应,主流操作系统基本
产品讲师,沟通表达理,亲和؜力,逻辑思考力,语言表达,英语阅读,抗压性,,,,
品类运营,产品or运营经验,阅读平台运营经验,责任感6,,,,,,,
金融工程,较为完善的量化投资体系,各类量化投资策略,基金公司,python程序,思维灵活,优化求解,c++,数学建模,抗压性,高度额责任心
MDD分析师,,,,,,,,,,
营销助理,电商运营思维,客户合同管理,品德优良,研究分析,英语邮件往来,数据导向,英文读写,积极创新,交际技巧,化办公软件
采购工程师,excel函,采购数据,付款方式,实习经验,三年以上,交货日期,英语4级,参与过项目采购,市场动向,英语四级通
原画师,sai,美术基础,造型功底,美术功底,手绘板绘制,审美力,超写实风格,儿插风格,次时代,古代服饰
证券咨询顾问,普通话标准,语言表达,目标敏感,抗压性,,,,,,
自动驾驶算法工程师,c++,数据结构,python程序,算法复现,ros,三维视觉与点云处理,计算机理论功底,车辆运动学理论,机器学习,加密算法
产品行销经理,党团干部,接受新事物的意识,学生会干部,乐于接受挑战,人际交往,社会实践经验,,,,
区域经理,社交感,团队精神6,抗压性,,,,,,,
CDD分析师,excel函,ppt操作,,,,,,,,
眼科医生,眼科理论知识,配镜经验,服务意识足,积极主动,offic办公软件,,,,,
品牌营销,上推广方式,社交媒体,流量规则,投放方式,文案写作,符合中欧基金,市场开拓,审美力,商务谈判,文风通俗易懂趣味性
销售管培生,社会实践经历,工作积极主动,领导力,号召力,学生会干部,问题诊断,清晰的职业规划,管理方向发展,产品功能,时尚市场洞察力
系统工程师,c++,python程序,allegro,linux操作系统,java语言,tcp,医用超声换能器开发经验,网络通,系统硬件电路,计算机基础理论知识
渠道运营,沟通协同,课程学习成绩,外语沟通,ppt操作,文字功底,出发思考,调动资源实现目标,offic办公软件,语言表达,整合内外部资源
芯片测试工程师,电子线路,uart,硬件设计,java语言,c++,芯片自动化测试流程,硬件需求,嵌入式处理,模电/数电基础,python程序
助理咨询顾问,linux操作命令4,结构化,c++,快速适应,英文写作,系统性,分析解决问题,沟通表达理,合作性,抗压性
商家运营,创造力,想象力,目标敏感,抗压性,系统分析,逻辑思考力,稳定性,,,
芯片研发工程师,,,,,,,,,,
融资顾问,口齿清晰,普通话标准,化办公软件,承压力,挖掘客户的潜力,积极主动,人际交往,事业心,极富团队合作精神,自信乐观
引擎开发,c++,图形学库,实际产品,现代游戏引擎架构,数学基础,数据结构,java语言,抽象思维,善于分析,python程序
商务运营,办公软件工具,内外部沟通,敏感性,推动性,excel,执行力,高度额责任心,抗压性,,
质量管理工程师,自律力,职业道德,课程学习成绩,自驱力,抗压性,工作责任心,团队建设,极富团队合作精神,化办公软件,高度额责任心
质量管培生,适应力,品德端正,学生会干部,思考方式,极强求知欲望,执行力,逻辑化,团队意识,创新意识,抗压性
视频设计,审美力,视觉设计,视频技能,发散性思维,美术功底,设计审美,相机动画,adobe,视频的镜头,3d动画制作
项目实施顾问,口头表达,excel函,ppt操作,word文档,高度额责任心,,,,,
游戏研发工程师,数据结构,热衷于算法,计算机理论知识,专业课成绩,计算机基础扎实,typescript语法5,c++,java语言,操作系统,基本算法
社交媒体运营,沟通协作,英语四级通,接受新事物的意识,英文书面,语言表达,抗压性,极富团队合作精神,自驱动力,,
设计助理,景观工程设计绘图,审美力,视觉设计,植物生活习性,素描手绘美术基础,植物病虫害知识,认真肯干,学习态度,沟通学习,视觉创意
技术顾问,excel函,access,c++,python程序,word文档,学习过程序开发语,水平2021,英语四级通,与人沟通,解决问题的意识
社区运营,贴吧吧主,亲和؜力,社区运营模式,论坛管理,高敏感度,整合内外部资源,喜次挑战,英语阅读,excel函,同理心
美术设计,sai,多种三维,平面设计用软件,美术功底,造型表现力,手绘板绘制,三维设计开发软件,美术类开发软件,独立审美,空间感
法务顾问,抗压性,积极主动,,,,,,,,
生产运营工程师,,,,,,,,,,
ICT顾问,信息安全管理,云安全,隐私保护,业务连,业务连续性管理,,,,,
视频运营,短视频运营,声音剪辑处理,创作热情,抖音平台的运营模式,剪映剪辑,推广规则,挖掘话题,讲奉献,视频把控力,用户调性
软件实施顾问,与人交流,,,,,,,,,
售后运营,高度额责任心,,,,,,,,,
运营实施顾问,英文功底,自驱力,学习力,高度额责任心,逻辑思考力,我们希望,,,,
策略运营,产品or运营经验,产品转化逻辑,活动策划&组织经验,从用户逻辑,文案撰写,投资经验,英文读写,团队配合意识,用户同理心,洞察力
客户服务顾问,普通话标准,高度额责任心,服务意识足,,,,,,,
数据运营工程师,excel函,access,临床医学基础,python程序,细胞学的诊断,数据分析工具,宫颈细,linux操作系统,沟通表达理,
数字化运营,主动沟通意识,服务意识足,高度额责任心,逻辑条理,分析解决问题,,,,,
品牌策略顾问,分析问题,解决问题的意识,,,,,,,,
私域运营,用户增长,运营的思路,微信聊天礼仪,excel函,视频制作,客户沟通,高度额责任心,解决问题的意识,抗压性,
速卖通运营,跨境运营工作经验,后台操作流程,分析挖掘数据,英语四级通,出发思考,目标敏感,责任感6,高度额责任心,团队精神6,自驱动力
服务顾问助理,化办公软件,语言表达,,,,,,,,
数据实施顾问,领导力,理解力,逻辑思考力,执行力,极富团队合作精神,高度额责任心,文档撰写,,,
天猫运营,快速成交客户,售后客服流程,京东天猫运营模式,平台活动规则,网络购物流程,学习性,excel函,数字敏感性,学上进心,高度额责任心
网站运营,思想成熟,宏观思维,网络维护,搜索引擎排名规律,文字功底,化办公软件,逻辑思考力,技术特征,自驱动力,抗压性
微信运营,,,,,,,,,,
咨询顾问,愿意在事务所行业继续学习,分析研究,市场开拓,execl,化办公软件,ppt操作,excel函,通过司法考试,word文档,思路方法
宣传运营,抗压性,正形象气质,文字功底,事业心,沟通表达理,高度额责任心,学习的意识,,,
亚马逊运营,平台各项政策,平台相关政策,平台运营环境,商品管理经验,亚马逊平台规则与政策,店铺产品链接的日常运营,平台规则,推广工作,1年以上工作经验,英语四级通
用户运营,用户运营,excel函,产品运营工作经验,用户分层,互联网事物高度敏感,youtube,行业数据,各类推广运营手段,竞品知识,instagram
游戏运营,rpg,游戏中各类术语含义,游戏系统,数据分析报,用户运营模式,游戏玩法,游戏经验,逻辑推理,游戏业务付费用户心理,美术风格
园区运营,负责任,团队精神6,,,,,,,,
运营拓展,互帮互助精神,共同进步,谦虚谨慎,市场拓展素质,学上进心,工作积极性,,,,
战略运营,目标驱动感,,,,,,,,,
知乎运营,网络舆情环境,,,,,,,,,
直播运营,直播方式,游戏直播,珠宝行业发展趋势,业务分析,数据变化敏感度,思维敏捷,执行力,目标意识,抗压性,数据处理功底
综合运营,excel函,物业各运作流程,逻辑思考力,公文写作功底,团队协作意识,offic办公软件,服务意识足,事业心,组织协调力,进取心
服务拓展顾问,爱岗敬业,高度额责任心,极富团队合作精神,,,,,,,
商业顾问,,,,,,,,,,
招聘顾问,人力资源,招聘渠道开发,英语书写,职业道德,抗压性,自驱动力,高度额责任心,自驱力,offic办公软件,自我学习驱动
营销顾问,居安思危的人,表达沟通,三观正,积极向上,普通话标准,抗压性,正能量,口齿清晰,团队意识,
健康顾问,礼貌待客,乐观主动,中医病理,团结合作意识,清楚表达公司产品,普通话标准,服务意识足,感染力,积极主动,亲和؜力
教育顾问,亲和؜力,服务意识足,高度额责任心,,,,,,,
信息顾问,抗压性,,,,,,,,,
实施顾问,管理信息系统的知识,数字化,成就感,企业资源计划,说话思维,独立分析,逻辑思考力,察言观色,沟通表达理,屏幕录像工具
精算分析顾问,access,word文档,书面交流,ppt操作,英语口语,人际交往,,,,
招商顾问,excel函,勤奋踏实,ppt操作,抗压性,,,,,,
商务顾问,excel函,人际交往,自我激励,团队协作意识,语言表达,word文档,事业心,ppt操作,英文书写,高度额责任心
售后服务顾问,服务意识足,语言表达,持驾照1年,,,,,,,
顾问销售,,,,,,,,,,
篮球顾问,,,,,,,,,,
知识顾问,感染力,普通话标准,承压力,事业心,高度额责任心,工作态度,,,,
学习顾问,口语流,英语书面,敢追求！敢说敢做！积极,表达沟通,千人千面,爱说话,抗压性,服务意识足,乐观积极,解决问题的意识
解决方案顾问,电力系统,ppt操作,人工智能算法,大数据处理,公共动力,java语言,压缩机,暖通空调系统,文字撰写功底,客户思
客户顾问,解决问题的意识,乐于接受挑战,抗压性,团队协作意识,,,,,,
涉外顾问,物流管理,抗压性,亲和؜力,,,,,,,
医学顾问,文献检索工作,生物学基础,文化素质,持续学习,化办公软件,逻辑性,抗压性,,,
服务顾问,服务意识足,普通话标准,积极上进,计算机软件,亲和؜力,语言表达,执行力,客户沟通,高度额责任心,理解力
助理顾问,英语语言,写作水平,分析客户,责任感6,抗压性,效沟通技巧,执行力,用户服务意识,,
博士顾问,核心胜任力,表达沟通,挑战意识,解决问题的意识,ppt操作,,,,,
体验顾问,热情主动,普通话标准,举止大方得体,销售意识,服务意识足,形象好,语言表达,亲和؜力,极富团队合作精神,
备孕顾问,,,,,,,,,,
顾问管培生,线上运维经验,资源拓展整合,结果导向思维,执行力,,,,,,
形象顾问,,,,,,,,,,
交易顾问,人际沟通影响力,出发思考,工作责任心,承压力,金钱有着,,,,,
奢侈品顾问,,,,,,,,,,
业务顾问,项目全生命周期管理,excel函,项目管理理论,客户关系管理,ppt操作,沟通表达理,行业管理流程,,,
文书顾问,英语写作,化办公软件,责任感6,工作热情,,,,,,
会销顾问,发展意愿,高度额责任心,团队意识,,,,,,,
采购顾问,高度额责任心,offic办公软件,,,,,,,,
客服服务,沟通顺,电脑的基本操作,反映敏捷,服务意识足,,,,,,
