,工具性技能1,工具性技能2,工具性技能3,工具性技能4,工具性技能5,工具性技能6,知识/思维1,知识/思维2,知识/思维3,知识/思维4,知识/思维5,知识/思维6,语言1,语言2,语言3,资质/经验1,资质/经验2,资质/经验3,通用技能1,通用技能2,通用技能3,通用技能4,通用技能5,通用技能6,思想/品格1,思想/品格2,思想/品格3,思想/品格4,思想/品格5,其他要求1,其他要求2,其他要求3
3D设计师,3dsMAX,MAYA,Zbrush,Unity3D,,,,,,,,,,,,美术设计功底,,,,,,,,,审美力,,,,,,,
Android客户端开发工程师,C++,Java,AndroidSDK,Kotlin,,,AndroidUI框架,数据结构,,,,,,,,,,,,,,,,,,,,,,,,
BD经理/业务拓展员,,,,,,,市场思维,商务运营,商务谈判,市场开拓,,,英语听说,,,,,,多项目并行管理,office办公软件,语言表达,,,,热爱销售,,,,,,,
C工程师/C#工程师/C++开发工程师,C++STL,linux,Windows,,,,数据结构,编程习惯,,,,,,,,,,,,,,,,,,,,,,,,
FPGA开发工程师,Verilog HDL,Vivado,Altera,Modesim,,,硬件描述语言,,,,,,,,,,,,,,,,,,,,,,,,,
IP软件工程师,C++,Java,C语言,linux,GUI设计,,数据结构,,,,,,,,,,,,,,,,,,,,,,,,,
IT软件开发工程师/IT技术研发工程师,C++,Java,html5css,python,,,数据结构,,,,,,,,,,,,,,,,,,,,,,,,,
Java工程师/JAVA开发实施工程师,Java,Springboot,mybati,Mysql,springcloud,,数据结构,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI设计师,photoshop,Skecthup,illustrator,figma,sketch,,,,,,,,,,,专业美术基础,,,,,,,,,色彩感觉,审美力,,,,,,
编辑,,,,,,,,,,,,,英汉翻译,,,文字功底,,,资料检索,,,,,,新闻敏感,热爱文字工作,,,,,,
财务管理/财务核算/财务整理报告专员/财务助理/财务专员/财务主管,财务软件,,,,,,基本会计准则,财税专业知识,财务管理,收法规,,,,,,财务类专业证书,,,EXCEL,,,,,,职业操守,,,,,,,
采购总监/采购经理/采购主管/采购专员/采购助理/采购工程师,,,,,,,采购流程,谈判技巧,,,,,CET4,,,组织活动经验,,,office办公软件,数据分析,沟通协调,逻辑思考,,,抗压性,,,,,,,
测试开发工程师,Java,C++,python scapy,Xshell,linux,,测试流程,测试方法,数据结构,,,,,,,,,,,,,,,,,,,,,,,
产品项目管理/产品助理/产品专员/产品总监/产品VP,axcure,Visio,XMind,,,,互联网产品,,,,,,,,,,,,数据分析,逻辑思考,组织协调,,,,团队意识,,,,,,,
产品运营,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大数据开发工程师,Java,Hadoop Hive,spark,C++,Scala,,数据结构,,,,,,,,,,,,,,,,,,,,,,,,,
电气工程师/电气设计工程师/电气设备工程师,博图软件/PLC,CSS,电气绘图软件,HMI,,,电气设计规范,,,,,,,,,,,,,,,,,,,,,,,,,
电器研发工程师/电器工程师/电器工艺制程工程师,C++,Java,AutoCad,golang,linux,,数据结构,,,,,,英文文献,,,,,,,,,,,,,,,,,,,
电商顾问/电商客服,,,,,,,网络平台规则,,,,,,,,,,,,打字,office办公软件,跨部门问题协作解决,,,,主动性销售,热衷网购,,,,,,
电子工程师/微电子工程师/电子工程设计师/电子技术研发工程师/电子设备工程师/电子元件工程师/电子工艺制程工程师/,AutoCad,SolidWorks,proE,,,,基本开关电源设计,电气原理图设计,,,,,,,,,,,,,,,,,动手能力,,,,,,,
法务,,,,,,,公司法,合同法,国家劳动法规,民事诉讼法,,,,,,,,,学习,,,,,,风险管控意识,敏锐的洞察能力,,处事灵活,,,,
仿真应用工程师/仿真工程师,C++,CFD,,,,,PCB设计,模拟电路设计,流体仿真分析,,,,,,,,,,,,,,,,,,,,,,,
感知算法工程师/视觉算法工程师/语音算法工程师,C++,Torch,Tensorflo,python,Caffe,MatLab,数据结构,机器学习,数学基础,,,,,,,,,,,,,,,,,,,,,,,
工程管培生/工程技管培生/工程技术研发管培生,CATIA,CaesarII,,,,,机械设计,机械制图,汽车理论知识,,,,中英文读写,,,,,,office办公软件,逻辑思考,,,,,,,,,,,,
工艺工程师/制程工程师,AutoCad,SolidWorks,,,,,化工原理,物理化学,MEMS传感器,半导体／光电子,,,,,,,,,,,,,,,动手能力,公民意识,,,,,,
功能测试工程师/性能测试工程师,Java,python,C++,linux,Xshell,TCP,测试理论,测试方法,测试流程,,,,,,,,,,,,,,,,,,,,,,,
国内电商运营/京东运营/拼多多运营/淘宝运营/天猫运营/阿里巴巴运营,,,,,,,网络购物流程,平台运作流程,营销管理理念,主流媒体趋势,,,,,,,,,office办公软件,数据分析,逻辑思考,,,,,,,,,,,
海外游戏运营/游戏运营,,,,,,,游戏中各类术语含义,用户运营模式,游戏系统,RPG,,,日语书面表达能力,,,,,,逻辑思考,,,,,,数据变化敏感度,整合性思维,,,,,,
会计/财会员/结算会计师/建筑会计师/工程会计师/总账会计师/税务外勤会计师,财务软件,,,,,,会计法规/会计制度,资产管理,财务收支计划,,,,,,,CPA,RMACCA,CMA,,,,,,,职业操守,,,,,,,
机器人工程师/机器人算法工程师/机器学习算法工程师,C++,linux,python,ROS操作系统,Tensorflo,Torch,全局路径规划算法,机器学习,机器人基础知识,数据结构,数学基础,,,,,,,,,,,,,,,,,,,,,
机械工程师/机械设计师/机械设备工程师/机械结构工程师,SolidWorks,AutoCad,PRO,3d动画制作,CATIA,,机械设计,互换性,,,,,,,,,,,ppt,,,,,,,,,,,,,
技术开发管培生/技术支持管培生/技术助理,3dsMAX,C++,MAYA,Unity3D,Zbrush,,视频直播推流,摄影灯光器材,美术制作流程,,,,,,,,,,,,,,,,责任心,探索主动意识,学习,,,,,
技术支持工程师,AutoCad,Java,linux,Mysql,TCP,ArcGIS,雷达原理,电子电路知识,毫米波,,,,,,,,,,,,,,,,愿意接受挑战,动手能力,,,,,,
金融管培生/金融经理实习生/金融科技定向生/金融科技管培生/金融理财管培生/金融培训生/金融实习生/金融实训,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客服代表/客服专员/客服助理/客服管培生,电话销售,,,,,,基金知识,基金交易业务流程,了解公司产品,,,,普通话标准,,,,,,打字,office办公软件,语言表达,,,,服务意识,应变能力,,,,口齿清晰,,
客户代表/大客户代表/客户经理,SaaS软件,,,,,,谈判技巧,商务公关,市场营销,大客户管理,,,普通话标准,,,,,,语言表达,,,,,,进取心,亲和?力,强烈成功欲望,服务意识,,口齿清晰,,
课程顾问,,,,,,,解决营销实际问题,,,,,,普通话标准,,,,,,语言表达,沟通协调,,,,,心态积极向上,热爱中国传统文化,亲和?力,主动营销意识,,,,
跨境电商运营/跨境产品运营/亚马逊运营/速卖通运营/阿里国际站运营,,,,,,,FBA发货流程,平台相关政策,商品管理,,,,英语四级读写,,,,,,沟通协调,,,,,,,,,,,,,
猎头顾问/猎头顾问助理,,,,,,,,,,,,,,,,,,,团队协作,沟通协调,,,,,职业道德观,自驱动力,反思积极主动,,,,,
零售管理培训生/零售运营管培生,,,,,,,商务谈判,市场营销,运营规划,,,,,,,,,,office办公软件,数据分析,分析决策,学习,人际交往,,前瞻性,亲和?力,,,,,,
内容运营,,,,,,,公众号运营,营销-策划-推广能力,,,,,,,,文字编辑功底,非文学类书籍阅读基础,,,,,,,,思想成熟,宏观思维,,,,,,
农业管理储备员/农业管理储备干部,,,,,,,基本运力知识,,,,,,英语运用能力,,,半年以上车间实习经验,,,office办公软件,沟通协调,团队协作,学习,,,抗压性,目标敏感,强烈成功欲望,,,,,
培训研究员/培训师/培训策划研究员,,,,,,,专业素质,组织策划能力,培训能力,,,,,,,,,,office办公软件,团队协作,人际交往,分享交流,,,,,,,,气质形象,,
平面设计师,主流设计软件,CorelDRAW/CDR,illustrator,,,,,,,,,,,,,美术功底,活动影像拍摄,,,,,,,,创意,,,,,,,
前端开发工程师/前端工程师/客户端工程师,JavaScript,html5css,HTMLS,jQurey,Vue,UE4,数据结构,react技术栈,,,,,,,,,,,,,,,,,,,,,,,,
嵌入式软件开发工程师,linux/嵌入式操作系统,C++,C语言,ARM,,,数据结构,SPI-UART-I2C,,,,,,,,,,,,,,,,,,,,,,,,
驱动开发工程师,Android,C++,Java,html5css,,,数据结构,AndroidUI框架,Kotlin,Spring,,,,,,,,,,,,,,,,,,,,,,
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,,,,,,,人力资源六大板块内容,人力资源各模块工作内容,国家政策,,,,,,,人力资源相关资格证书,,,office办公软件,沟通协调,团队协作,,,,抗压,,,,,,,
软件测试工程师,C++,Java,linux,Mysql,python,,操作系统,测试方法,测试理论,软硬件测试流程,,,,,,,,,,,,,,,,,,,,,,
商务司机,,,,,,,新客户开发,客情维护,项目公关,,,,普通话标准,,,,,,学习,,,,,,乐观主动,销售欲望,性格坚韧,,,口齿清晰,,
商务总监/商务经理/商务专员,,,,,,,销售思维,进销存系统,商务谈判,,,,,,,,,,office办公软件,沟通协调,逻辑思考,,,,高效执行力,领导力,,,,正形象气质,,
设计管培生,AutoCad,3dsMAX,Photoshop,Skecthup,设计类软件,手绘板,视觉营销,,,,,,,,,美术功底,,,,,,,,,审美力,,,,,,,
社交媒体运营/抖音运营/微信运营/知乎运营/小红书运营,,,,,,,策略思维,运营规则机制,,,,,,,,文案功底,新媒体运营工作经验,,,,,,,,眼光独到,热点感知,审美力,,,,,
市场管理培训生,,,,,,,推广活动流程,社团管理,活动策划,,,,,,,文字功底,社会实践经历,,数据分析,学习,组织协调,沟通协调,,,领导力,工作积极主动,,,,,,
市场营销管培生,,,,,,,市场营销,IT项目流程,管理思维,客户资源开拓,,,,,,ToB销售经验,,,问题分析处理,,,,,,品行良好,亲和?力,三观正,承挫抗压,,,,
市场营销人员/市场推广人员/市场顾问/市场总监/营销主管,,,,,,,,,,,,,,,,,,,,,,,,,管理潜质,竞争意识,目标敏感,爱管事,进取心,谦虚谨慎,,
视觉设计师/视觉设计总监,CG制作软件,illustrator,Photoshop,主流设计软件,,,版式设计,视觉设计,字体设计,,,,,,,,,,,,,,,,,,,,,,,
视频编辑师,Finalcut,合成软件,premiere,,,,数码相机应用技巧,后期制作技术基础,摄像技术,,,,,,,,,,沟通协调,,,,,,想象力,,,,,,,
售前工程师/售前技术支持/售前客服,,,,,,,计算机网络,软件系统,云计算相关概念,大数据处理,通信网络技术,,,,,文字功底,,,沟通协调,,,,,,,,,,,,,
数据分析师,Hive,python,SAS,spark,SQL,,统计分析原理,,,,,,,,,,,,Excel,数据分析,,,,,,,,,,,,
私域运营/社区运营/流量运营/媒介运营/渠道运营/区域运营,投影机,,,,,,策划,互联网知识,新客转化各漏斗环节,分析总结用户,,,,,,,,,,,,,,,领导力,,,,,,,
土木结构工程师/土建结构工程师,AutoCad,inventor,PRO,proE,SolidWorks,三维设计开发软件,钣金设计,材料、力学,模具制造工艺,压铸模,,,专业英文用词,,,,,,,,,,,,,,,,,,,
外贸经理/外贸业务员,,,,,,,外贸订单跟踪,,,,,,英语6级听说读写能力,日语口语,,,,,,,,,,,,,,,,,,
系统工程师,C++,linux,MatLab,python,,,软件研发流程,电气原理图设计,计算机基本理论知识,图像处理算法设计,,,编写英文技术文档,,,,,,,,,,,,自驱力,,,,,,,
项目调研专员/项目服务专员/项目助理/项目专员,软件开发基础,,,,,,文献检索,项目管理流程,CRM管理,项目调研,,,CET4,,,,,,,,,,,,组织协调,互动沟通协调,理解力,,,,,
项目管理管培生/项目管理培训生/项目管培生/项目经理管培生/项目经理培训生,,,,,,,项目管理技能,项目管理知识体系,,,,,TEM8,,,,,,学习,沟通协调,office办公软件,,,,执行能力,抗压性,责任感,,,,,
项目管理实施工程师/项目管理工程师/项目实施工程师/项目工程师/项目运营管理员,ORACLE,PLSQL,,,,,财税专业知识,存储过程,,,,,,,,,,,问题分析处理,沟通协调,理解力,,,,,,,,,,,
项目交付专员/项目交付工程师/项目执行员,,,,,,,通信网络架构,农业知识,,,,,,,,,,,沟通协调,汇报能力,计划管理,人际交往,,,高度额责任心,自驱力,用户服务意识,,,,,
销售VP/销售副总监/销售总监/销售经理/销售工程师/销售助理/销售专员/销售顾问/销售管理员,,,,,,,,,,,,,,,,,,,学习,沟通协调,,,,,亲和?力,销售意识,,,,口齿清晰,,
销售管理培训生/销售管培生/销售培训生/销售运营管培生,,,,,,,公司政策,DR设备,,,,,阅读英文资料,,,,,,团队协作,,,,,,热衷销售,,,,,,,
新媒体运营/新媒体运营助理,视频混剪,,,,,,文案策划,文字编辑,公众号运营,,,,,,,新媒体运营工作经验,,,,,,,,,洞察力,热点感知能力,,,,,,
行业研究员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政专员/行政助理,,,,,,,接待礼仪,企业行政相关政策,,,,,普通话标准,,,文字功底,,,office办公软件,团队协作,沟通协调,,,,阳光开朗,亲和?力,服务意识,,,160cm,,
学术推广代表/学术型实习生/学术研究员/研究助理,,,,,,,基本实验基础,实验设计思路,统计分析原理,,,,英文书写,,,,,,EXCEL,学习,组织协调,资源拓展整合,,,进取心,积极向上,,,,,,
业务定向生/业务管培生/业务品质管培生,开拓能力,,,,,,,,,,,,汉语交流能力,,,,,,语言表达,,,,,,勇于尝试新思路,乐于洞察新知,抗压性,跨文化适应力,亲和?力,,,
艺人助理/主播助理/经纪人,,,,,,,地方劳动法,人力资源管理各项实务的操作流程,人力资源六大板块内容,,,,普通话标准,,,,,,沟通协调,团队协作,,,,,亲和?力,表现欲,,,,,,
营销管理培训生/营销管培生/营运管理管培生,,,,,,,工程类知识储备,,,,,,英语四级,,,文字功底,,,沟通协调,逻辑思考,报告撰写,,,,,,,,,,,
硬件工程师,PCB绘制软件,AltiumDesigner,PADS,ARM,Cadenceirun,,DSP,模电/数电基础,模拟电路设计,数字滤波器,产品需求,,,,,,,,,,,,,,,,,,,,,
用户界面开发工程师/web前端工程师,JavaScript,AngularJS,Ajax,CSS3,html5,,react技术栈,Vue,UE4,,,,,,,,,,,,,,,,,,,,,,,
游戏场景设计师/游戏角色设计师/游戏动作设计师/游戏界面设计师/游戏特效设计师/游戏设计师/游戏原画设计师,3dsMAX,MAYA,Photoshop,Unity3D引,Zbrush,手绘板,声学概念,,,,,,,,,美术功底,,,,,,,,,想象力,,,,,,,
运维工程师/运维开发工程师,linux,Java,Mysql,python,Xshell,Zabbix,Ngnix,RedHat,docker,,TCP,,,,,,,,,,,,,,,,,,,,,
运营管理管培生/运营管理培训生/运营管培生专员/运营经理管培生,,,,,,,电子商务平台,用户需求意识,,,,,,,,专业等级证书,,,数据分析,逻辑思考,落地执行能力,文案写作,,,服务意识,诚实守信,,,,,,
招聘管理培训生,,,,,,,常用面试方法,招聘漏斗分析法,谈判技巧,,,,,,,文字功底,,,沟通协调,ppt,,,,,爱岗敬业,抗压性,亲和?力,,,,,
质量管理工程师,AutoCad,INCA工具,PMS,CATIA,计算机软件,,电路分析基础,芯片开发制造流程,行业测试,,,,英语听说读写能力,,,,,,,,,,,,,,,,,,,
