岗位名称,模板词1,原词1,模板词2,原词2,模板词3,原词3,模板词4,原词4,模板词5,原词5,模板词6,原词6,模板词7,原词7,模板词8,原词8
3D设计师,Unity3D,Unity3D引,美术设计功底,美术功底/设计功底,,,,,,,,,,,,
Android客户端开发工程师,Java,Java底/java语言,Kotlin,Kotlin语言,C++,C++编程能力,,,,,,,,,,
BD经理/业务拓展员,英语听说,英语听,office办公软件,办公软件3,多项目并行管理,多项目并行管理能力,热爱销售,热爱销售3.学习能力,商务谈判,商务谈判能力,市场思维,市场思维能力,,,,
C工程师/C#工程师/C++开发工程师,linux,linux操作命令4,C++STL,c++语言/STL,,,,,,,,,,,,
FPGA开发工程师,Verilog HDL,Verilog,,,,,,,,,,,,,,
IP软件工程师,C语言,C语言程序设计/嵌入式C开发经验,Java,Java底,linux,linux操作命令4,C++,C++编程能力,,,,,,,,
IT软件开发工程师/IT技术研发工程师,Java,Java底,python,python程序,C++,C++编程能力,,,,,,,,,,
Java工程师/JAVA开发实施工程师,Java,java语言/Java底,Mysql,Mysql的设计,Springboot,Springboott,,,,,,,,,,
s,,,,,,,,,,,,,,,,
UI设计师,色彩感觉,色彩感觉能力,photoshop,Photos,sketch,sketch设计工具,,,,,,,,,,
编辑,英汉翻译,英汉翻译能力,资料检索,资料检索能力,新闻敏感,新闻敏感度,,,,,,,,,,
财务管理/财务核算/财务整理报告专员/财务助理/财务专员/财务主管,职业操守,职业操,EXCEL,Excel函,,,,,,,,,,,,
采购总监/采购经理/采购主管/采购专员/采购助理/采购工程师,沟通协调,沟通协调能力能力,office办公软件,offic办公软件,谈判技巧,谈判能力,逻辑思考,逻辑分析能力/,数据分析,数据分析处理能力,,,,,,
测试开发工程师,Java,Java底,linux,linux操作命令4,python scapy,scapy/python程序,C++,C++编程能力,,,,,,,,
产品项目管理/产品助理/产品专员/产品总监/产品VP,逻辑思考,逻辑思考力,组织协调,沟通能力,数据分析,数据分析处理能力,,,,,,,,
产品运营,,,,,,,,,,,,,,,,
大数据开发工程师,Java,Java底/java语言/JavaWeb,Hadoop Hive,Hadoo,Scala,Scala语言,C++,C++编程能力,,,,,,,,
电气工程师/电气设计工程师/电气设备工程师,博图软件/PLC,博图软件/PLC/PLC编程调试能力,HMI,HMI使用,CSS,CCS,,,,,,,,,,
电器研发工程师/电器工程师/电器工艺制程工程师,Java,Java底,golang,golang语言,英文文献,国内外文献,linux,linux操作命令4,C++,C++编程能力,,,,,,
电商顾问/电商客服,office办公软件,计算机操作3,跨部门问题协作解决,跨部门问题协作解决能力,网络平台规则,网络平台,主动性销售,主动性销售能力,打字,打字能力,,,,,,
电子工程师/微电子工程师/电子工程设计师/电子技术研发工程师/电子设备工程师/电子元件工程师/电子工艺制程工程师/,,,,,,,,,,,,,,,,
法务,处事灵活,处事灵活5,学习,学习的意识,,,,,,,,,,,,
仿真应用工程师/仿真工程师,模拟电路设计,模拟电路,C++,C++编程能力,,,,,,,,,,,,
感知算法工程师/视觉算法工程师/语音算法工程师,python,python程序,C++,C++编程能力,,,,,,,,,,,,
工程管培生/工程技管培生/工程技术研发管培生,中英文读写,中英文读写能力,机械制图,机械制图能力,逻辑思考,逻辑思考力,office办公软件,offic办公软件,,,,,,,,
工艺工程师/制程工程师,MEMS传感器,MEMS传感,,,,,,,,,,,,,,
功能测试工程师/性能测试工程师,Java,Java底,linux,linux操作命令4,python,python程序,C++,C++编程能力,,,,,,,,
国内电商运营/京东运营/拼多多运营/淘宝运营/天猫运营/阿里巴巴运营,逻辑思考,逻辑推理/逻辑思考力,office办公软件,计算机办公软件,数据分析,数据分析处理能力,,,,,,,,,,
海外游戏运营/游戏运营,逻辑思考,逻辑推理,RPG,rpg,整合性思维,整合性思维能力,,,,,,,,,,
会计/财会员/结算会计师/建筑会计师/工程会计师/总账会计师/税务外勤会计师,职业操守,职业操,CMA,CMA证书,会计法规/会计制度,国家会计法规/会计法规,,,,,,,,,,
机器人工程师/机器人算法工程师/机器学习算法工程师,机器学习,机器学习算法,linux,linux操作命令4,python,python程序,C++,C++编程能力,机器人基础知识,机器人学基础知识,,,,,,
机械工程师/机械设计师/机械设备工程师/机械结构工程师,ppt,PPT使用,,,,,,,,,,,,,,
技术开发管培生/技术支持管培生/技术助理,Unity3D,Unity3D引,学习,责任心学习能力,责任心,责任心学习能力,C++,C++编程能力,,,,,,,,
技术支持工程师,Java,Java底,linux,linux操作命令4,Mysql,Mysql的设计,,,,,,,,,,
金融管培生/金融经理实习生/金融科技定向生/金融科技管培生/金融理财管培生/金融培训生/金融实习生/金融实训,,,,,,,,,,,,,,,,
客服代表/客服专员/客服助理/客服管培生,服务意识,服务意识足,office办公软件,办公计算机操作,打字,打字能力,,,,,,,,,,
客户代表/大客户代表/客户经理,服务意识,服务意识足,商务公关,商务公关能力,,,,,,,,,,,,
课程顾问,沟通协调,沟通逻辑性,解决营销实际问题,解决营销实际问题的能力,,,,,,,,,,,,
跨境电商运营/跨境产品运营/亚马逊运营/速卖通运营/阿里国际站运营,沟通协调,沟通2,商品管理,商品管理经验,英语四级读写,英语4级/英语读写能力/英文打字,,,,,,,,,,
猎头顾问/猎头顾问助理,沟通协调,语言沟通能力,团队协作,与他人协作,,,,,,,,,,,,
零售管理培训生/零售运营管培生,运营规划,运营规划的能力,office办公软件,计算机办公软件,市场营销,市场营销知识,人际交往,人际理解,数据分析,数据分析问题,商务谈判,商务谈判技巧,学习,学习能力,分析决策,分析决策能力
内容运营,,,,,,,,,,,,,,,,
农业管理储备员/农业管理储备干部,沟通协调,沟通能力,团队协作,团队协作意识,office办公软件,offic办公软件,学习,学习能力,,,,,,,,
培训研究员/培训师/培训策划研究员,团队协作,团队的协作能力,office办公软件,办公软件3,,,,,,,,,,,,
平面设计师,CorelDRAW/CDR,CorelDRAW/Cdr,创意,创意设计能力,,,,,,,,,,,,
前端开发工程师/前端工程师/客户端工程师,Vue,Vue技术,JavaScript,JavaScript功底,UE4,负责UE4,,,,,,,,,,
嵌入式软件开发工程师,C++,C++编程能力,C语言,C语言程序设计,SPI-UART-I2C,SPI/UART/I2C,linux/嵌入式操作系统,嵌入式操作系统/linux操作命令4,ARM,ARM平,,,,,,
驱动开发工程师,Java,Java底,Kotlin,Kotlin语言,C++,C++编程能力,,,,,,,,,,
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,沟通协调,沟通表达理,团队协作,团队合作精神抗压能力,office办公软件,offic办公软件,抗压,团队合作精神抗压能力,,,,,,,,
软件测试工程师,Java,Java底,linux,linux操作命令4,python,python程序,C++,C++编程能力,Mysql,Mysql的设计,,,,,,
商务司机,新客户开发,开发新客户,客情维护,客情维护能力,学习,知识学习,,,,,,,,,,
商务总监/商务经理/商务专员,沟通协调,沟通交互,逻辑思考,逻辑性,office办公软件,化办公软件,,,,,,,,,,
设计管培生,Photoshop,Photos,手绘板,手绘板绘制,,,,,,,,,,,,
社交媒体运营/抖音运营/微信运营/知乎运营/小红书运营,热点感知,热点感知能力,眼光独到,运营规则机制2.眼光独到,运营规则机制,运营规则机制2.眼光独到,策略思维,策略思,,,,,,,,
市场管理培训生,沟通协调,沟通执行能力,活动策划,活动策划能力,组织协调,组织能力,数据分析,数据分析处理能力,学习,学习能力,,,,,,
市场营销管培生,客户资源开拓,自主开拓客户资源的能力,问题分析处理,处理问题的能力,承挫抗压,承挫抗压能力,,,,,,,,,,
市场营销人员/市场推广人员/市场顾问/市场总监/营销主管,,,,,,,,,,,,,,,,
视觉设计师/视觉设计总监,Photoshop,Photos,字体设计,字体设计技能,,,,,,,,,,,,
视频编辑师,沟通协调,提案沟通能力,,,,,,,,,,,,,,
售前工程师/售前技术支持/售前客服,沟通协调,客户沟通4,,,,,,,,,,,,,,
数据分析师,SQL,复杂SQL,Excel,Excel函,python,python程序,统计分析原理,统计分析专业能力,数据分析,数据分析处理能力,,,,,,
私域运营/社区运营/流量运营/媒介运营/渠道运营/区域运营,策划,策划思路,,,,,,,,,,,,,,
土木结构工程师/土建结构工程师,,,,,,,,,,,,,,,,
外贸经理/外贸业务员,英语6级听说读写能力,英语听说读写能力/写能力/英语6级,外贸订单跟踪,跟踪外贸订单,,,,,,,,,,,,
系统工程师,linux,linux操作命令4,自驱力,学习自驱力,python,python程序,C++,C++编程能力,计算机基本理论知识,计算机基本理论知识l,,,,,,
项目调研专员/项目服务专员/项目助理/项目专员,互动沟通协调,互动沟通,项目调研,项目调研能力,组织协调,组织协调力,文献检索,文献检索经验,,,,,,,,
项目管理管培生/项目管理培训生/项目管培生/项目经理管培生/项目经理培训生,沟通协调,沟通协调能力能力,责任感,责任感6,office办公软件,offic办公软件,学习,学习能力,,,,,,,,
项目管理实施工程师/项目管理工程师/项目实施工程师/项目工程师/项目运营管理员,沟通协调,沟通交互,问题分析处理,分析问题,ORACLE,ORACLE数据库,PLSQL,PLSQL工具,,,,,,,,
项目交付专员/项目交付工程师/项目执行员,沟通协调,沟通6,人际交往,人际交往技能,计划管理,计划管理能力,,,,,,,,,,
销售VP/销售副总监/销售总监/销售经理/销售工程师/销售助理/销售专员/销售顾问/销售管理员,沟通协调,沟通协调能力能力,学习,学习能力,,,,,,,,,,,,
销售管理培训生/销售管培生/销售培训生/销售运营管培生,团队协作,团队合作适应性,DR设备,包括DR设备,,,,,,,,,,,,
新媒体运营/新媒体运营助理,文案策划,文案功底,,,,,,,,,,,,,,
行业研究员,,,,,,,,,,,,,,,,
行政专员/行政助理,沟通协调,沟通反馈意识,office办公软件,化办公软件,160cm,高160cm,服务意识,服务意识足,团队协作,团队协作意识,,,,,,
学术推广代表/学术型实习生/学术研究员/研究助理,EXCEL,本exel,组织协调,组织协调力,学习,学习能力,,,,,,,,,,
业务定向生/业务管培生/业务品质管培生,,,,,,,,,,,,,,,,
艺人助理/主播助理/经纪人,沟通协调,沟通反馈意识,团队协作,团队协作意识,,,,,,,,,,,,
营销管理培训生/营销管培生/营运管理管培生,英语四级,英语四级通,沟通协调,沟通协调能力能力,逻辑思考,逻辑思考力,,,,,,,,,,
硬件工程师,模拟电路设计,模拟电路设计经验,ARM,ARM平,产品需求,产品需求收集,DSP,DSP应用,,,,,,,,
用户界面开发工程师/web前端工程师,html5,html5css/HTMLS,AngularJS,Angular.js,JavaScript,JavaScript功底,UE4,负责UE4,Vue,Vue技术,CSS3,html5css,,,,
游戏场景设计师/游戏角色设计师/游戏动作设计师/游戏界面设计师/游戏特效设计师/游戏设计师/游戏原画设计师,Photoshop,Photos,手绘板,手绘板绘制,,,,,,,,,,,,
运维工程师/运维开发工程师,Java,Java底,linux,linux系统运维,python,python程序,Mysql,Mysql的设计,,,,,,,,
运营管理管培生/运营管理培训生/运营管培生专员/运营经理管培生,文案写作,文案写作能力,诚实守信,服务意识做人诚实守信,逻辑思考,逻辑思考力,数据分析,数据分析处理能力,服务意识,服务意识做人诚实守信,,,,,,
招聘管理培训生,沟通协调,沟通表达理,谈判技巧,说服技巧,ppt,ppt4,,,,,,,,,,
质量管理工程师,,,,,,,,,,,,,,,,
